,high,high_abnormal,index_0_price,index_0_scores,index_1_price,index_1_scores,index_2_price,index_2_scores,index_3_price,index_3_scores,low,low_abnormal
88,468,,466,33.333333333333336,468,33.162393162393165,400,38.97435897435897,388,40.0,388,
89,468,,466,33.41880341880342,468,33.24786324786325,400,39.059829059829056,389,40.0,389,
90,468,,466,33.504273504273506,468,33.333333333333336,400,39.14529914529914,390,40.0,390,
91,468,,466,33.58974358974359,468,33.41880341880342,400,39.230769230769226,391,40.0,391,
92,468,,466,33.675213675213676,468,33.504273504273506,400,39.31623931623931,392,40.0,392,
93,468,,466,33.76068376068376,468,33.58974358974359,400,39.401709401709404,393,40.0,393,
94,468,,466,33.84615384615385,468,33.675213675213676,400,39.48717948717949,394,40.0,394,
95,468,,466,33.93162393162393,468,33.76068376068376,400,39.572649572649574,395,40.0,395,
96,468,,466,34.01709401709402,468,33.84615384615385,400,39.65811965811966,396,40.0,396,
97,468,,466,34.1025641025641,468,33.93162393162393,400,39.743589743589745,397,40.0,397,
98,468,,466,34.18803418803419,468,34.01709401709402,400,39.82905982905983,398,40.0,398,
99,468,,466,34.27350427350427,468,34.1025641025641,400,39.914529914529915,399,40.0,399,
100,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,400,40.0,400,
101,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,401,39.914529914529915,400,
102,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,402,39.82905982905983,400,
103,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,403,39.743589743589745,400,
104,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,404,39.65811965811966,400,
105,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,405,39.572649572649574,400,
106,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,406,39.48717948717949,400,
107,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,407,39.401709401709404,400,
108,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,408,39.31623931623931,400,
109,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,409,39.230769230769226,400,
110,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,410,39.14529914529914,400,
111,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,411,39.059829059829056,400,
112,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,412,38.97435897435897,400,
113,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,413,38.888888888888886,400,
114,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,414,38.8034188034188,400,
115,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,415,38.717948717948715,400,
116,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,416,38.63247863247863,400,
117,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,417,38.547008547008545,400,
118,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,418,38.46153846153846,400,
119,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,419,38.376068376068375,400,
120,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,420,38.29059829059829,400,
121,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,421,38.205128205128204,400,
122,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,422,38.11965811965812,400,
123,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,423,38.034188034188034,400,
124,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,424,37.94871794871795,400,
125,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,425,37.863247863247864,400,
126,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,426,37.77777777777778,400,
127,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,427,37.69230769230769,400,
128,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,428,37.60683760683761,400,
129,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,429,37.52136752136752,400,
130,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,430,37.43589743589744,400,
131,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,431,37.35042735042735,400,
132,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,432,37.26495726495727,400,
133,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,433,37.17948717948718,400,
134,468,,466,34.35897435897436,468,34.18803418803419,400,40.0,434,37.0940170940171,400,
